p
0 1.333332
63 55 -9.333332
63 56 -1.866668
63 57 1.866668
63 58 -2.933332
63 59 20.0
63 63 -3.946668
64 32 3.466668
64 64 -1.8399999999999994
65 33 1.333332
65 65 -3.546666
66 34 -2.4
66 66 -0.8266660000000001
67 35 -1.333332
67 67 2.639998
68 64 -12.0
68 65 4.0
68 66 -2.933332
68 67 -3.466668
68 68 8.16
69 64 4.0
69 65 -1.333332
69 66 2.4
69 67 1.866668
69 69 -2.453334
70 64 4.0
70 65 -0.266668
70 66 -14.666668
70 67 -1.333332
70 70 4.373334
71 64 2.933332
71 65 0.266668
71 66 17.333332
71 67 -2.4
71 71 -8.693332
72 40 -0.266668
72 72 3.0666700000000002
73 41 3.466668
73 73 -3.013334
74 42 1.333332
74 74 -7.279997999999999
75 43 0.8
75 75 -7.6
76 68 -2.4
76 72 -0.8
76 73 -0.266668
76 74 3.466668
76 75 6.666668
76 76 -1.4666659999999994
77 69 -2.4
77 72 -6.666668
77 73 0.266668
77 74 1.333332
77 75 4.0
77 77 0.4000000000000006
78 70 3.466668
78 72 1.333332
78 73 0.8
78 74 -0.266668
78 75 -2.4
78 78 -2.693334
79 71 -0.8
79 72 -1.866668
79 73 -0.8
79 74 12.0
79 75 1.333332
79 79 -6.746664
80 48 -2.4
80 80 3.1733319999999994
81 49 12.0
81 81 -6.693334
82 50 -2.4
82 82 -0.026666000000000023
83 51 2.933332
83 83 2.213332
84 76 -3.466668
84 80 -4.0
84 81 0.8
84 82 2.933332
84 83 0.8
84 84 0.7733359999999998
85 77 3.466668
85 80 4.0
85 81 -0.8
85 82 -0.8
85 83 0.266668
85 85 -1.3600020000000002
86 78 1.866668
86 80 -1.866668
86 81 3.466668
86 82 0.266668
86 83 -3.466668
86 86 2.0
87 79 2.933332
87 80 14.666668
87 81 -2.933332
87 82 1.333332
87 83 -2.933332
87 87 -6.106668
88 56 4.0
88 88 -4.346664
89 57 -2.933332
89 89 -1.466666
90 58 -0.8
90 90 0.8799999999999999
91 59 3.466668
91 91 0.186666
92 84 1.333332
92 88 -0.266668
92 89 -1.866668
92 90 2.933332
92 91 -2.4
92 92 -0.10666400000000009
93 85 -4.0
93 88 2.4
93 89 2.933332
93 90 0.8
93 91 -1.866668
93 93 -0.3733319999999999
94 86 -3.466668
94 88 -3.466668
94 89 4.0
94 90 1.333332
94 91 0.8
94 94 0.6400019999999996
95 87 -0.8
95 88 4.0
95 89 -1.866668
95 90 -2.933332
95 91 -2.933332
95 95 2.4
96 64 1.866668
96 96 0.7999999999999998
97 65 2.933332
97 97 5.653334
98 66 2.4
98 98 -1.0666659999999997
99 67 0.8
99 99 0.26666599999999996
100 96 -3.466668
100 97 -9.333332
100 98 4.0
100 99 3.466668
100 100 1.7066659999999998
101 96 -1.333332
101 97 -12.0
101 98 -3.466668
101 99 -0.266668
101 101 7.466667999999999
102 96 -1.866668
102 97 3.466668
102 98 2.933332
102 99 -4.0
102 102 -0.3733340000000002
103 96 2.933332
103 97 2.933332
103 98 -2.933332
103 99 -0.8
103 103 -1.866666
104 72 2.933332
104 104 4.426667999999999
105 73 1.866668
105 105 -6.026668
106 74 -4.0
106 106 -6.453332
107 75 4.0
107 107 -3.8933339999999994
108 100 1.866668
108 104 -14.666668
108 105 1.866668
108 106 14.666668
108 107 3.466668
108 108 -4.453334000000001
109 101 2.4
109 104 4.0
109 105 2.933332
109 106 -1.866668
109 107 0.266668
109 109 -3.0133319999999992
110 102 0.266668
110 104 -4.0
110 105 2.4
110 106 2.4
110 107 2.933332
110 110 -3.9733340000000004
111 103 2.4
111 104 2.4
111 105 3.466668
111 106 1.333332
111 107 -2.933332
111 111 -3.8133340000000002
112 80 -17.333332
112 112 4.693333999999999
113 81 1.333332
113 113 -2.8799979999999996
114 82 -0.8
114 114 1.1733339999999999
115 83 -1.333332
115 115 -1.28
116 108 1.333332
116 112 20.0
116 113 4.0
116 114 -1.866668
116 115 2.4
116 116 -11.226666
117 109 -2.4
117 112 -3.466668
117 113 1.333332
117 114 -1.866668
117 115 2.933332
117 117 0.6666679999999995
118 110 3.466668
118 112 -6.666668
118 113 1.333332
118 114 2.4
118 115 -2.4
118 118 1.7333339999999997
119 111 1.333332
119 112 -2.4
119 113 -2.4
119 114 0.266668
119 115 1.333332
119 119 -0.07999999999999996
120 88 1.333332
120 120 -10.666666
121 89 3.466668
121 121 -3.573334
122 90 -2.4
122 122 0.4800000000000002
123 91 2.4
123 123 2.506668
124 116 -4.0
124 120 -0.8
124 121 0.266668
124 122 1.866668
124 123 -1.333332
124 124 2.1333320000000002
125 117 1.866668
125 120 2.4
125 121 -2.4
125 122 -2.933332
125 123 -1.866668
125 125 1.0666660000000001
126 118 -1.866668
126 120 0.266668
126 121 4.0
126 122 -0.266668
126 123 -0.8
126 126 -0.31999999999999995
127 119 1.866668
127 120 17.333332
127 121 1.333332
127 122 2.4
127 123 -3.466668
127 127 -10.026665999999999
